Country,Category,Gold,Silver,Bronze
SRB,Male,0,1,14
SRB,Female,0,0,0
SRI,Male,0,1,0
SRI,Female,0,1,0
SUD,Male,0,1,0
SUD,Female,0,0,0
SUI,Male,71,149,130
SUI,Female,2,16,8
SUR,Male,1,0,1
SUR,Female,0,0,0
SVK,Male,8,8,8
SVK,Female,2,3,0
SWE,Male,328,320,284
SWE,Female,19,29,41
SYR,Male,0,1,1
SYR,Female,1,0,0
TAN,Male,0,2,0
TAN,Female,0,0,0
TCH,Male,60,95,94
TCH,Female,20,49,11
TGA,Male,0,1,0
TGA,Female,0,0,0
THA,Male,4,3,6
THA,Female,3,1,4
TJK,Male,0,1,1
TJK,Female,0,0,0
TOG,Male,0,0,1
TOG,Female,0,0,0
TPE,Male,1,25,4
TPE,Female,1,2,9
TRI,Male,1,8,11
TRI,Female,0,0,0
TUN,Male,2,2,3
TUN,Female,0,0,0
TUR,Male,36,19,20
TUR,Female,1,4,2
UAE,Male,1,0,0
UAE,Female,0,0,0
UGA,Male,1,3,2
UGA,Female,0,0,0
UKR,Male,15,22,38
UKR,Female,17,16,40
URS,Male,575,482,419
URS,Female,263,145,165
URU,Male,44,2,30
URU,Female,0,0,0
USA,Male,1520,834,766
USA,Female,568,361,286
UZB,Male,4,5,7
UZB,Female,0,0,1
VEN,Male,1,2,6
VEN,Female,0,0,2
VIE,Male,0,1,0
VIE,Female,0,1,0
YUG,Male,125,146,102
YUG,Female,18,28,16
ZAM,Male,0,1,1
ZAM,Female,0,0,0
ZIM,Male,0,0,0
ZIM,Female,18,4,1
ZZX,Male,23,14,8
ZZX,Female,0,1,2
